"","dd","ca","pd","days","CR","CRC","C"
"1",2016-01-04,"NO CA",2016-04-19,28,0,0,0
"2",2016-01-04,"NO CA",2016-05-17,25,0,0.0101010101010101,0.0202020202020202
"3",2016-01-04,"NO CA",2016-05-30,26,0,0,0
"4",2016-01-04,"NO CA",2016-06-13,26,0,0,0
"5",2016-01-04,"NO CA",2016-06-13,26,0,0,0
"6",2016-01-04,"NO CA",2016-06-13,28,0,0,0
"7",2016-01-04,"NO CA",2016-06-13,26,0,0,0
"8",2016-01-05,"CA",2016-05-03,29,0,0,0
"9",2016-01-05,"CA",2016-05-10,28,0,0.0363636363636364,0.0727272727272728
"10",2016-01-05,"CA",2016-06-20,29,0.0169491525423729,0.00847457627118644,0.0338983050847458
"11",2016-01-05,"CA",2015-12-08,28,0,0,0
"12",2016-01-05,"NO CA",2015-12-12,24,0,0,0
"13",2016-01-06,"NO CA",2015-12-10,27,0,0,0
"14",2016-01-06,"NO CA",2016-04-19,26,0,0.0101010101010101,0.0202020202020202
"15",2016-01-06,"NO CA",2016-06-27,27,0.0103092783505155,0,0.0103092783505155
"16",2016-01-06,"NO CA",2016-06-30,27,0.0106382978723404,0,0.0106382978723404
"17",2016-01-06,"NO CA",2015-12-11,26,0.0101010101010101,0,0.0101010101010101
"18",2016-01-06,"CA",2015-12-09,28,0,0.00840336134453781,0.0168067226890756
"19",2016-01-06,"NO CA",2015-12-11,26,0,0,0
"20",2016-01-11,"NO CA",2015-12-13,29,0,0,0
"21",2016-01-11,"NO CA",2015-12-14,28,0,0,0
"22",2016-01-11,"NO CA",2015-12-14,28,0,0,0
"23",2016-01-11,"NO CA",2015-12-17,25,0,0,0
"24",2016-01-11,"NO CA",2015-12-16,26,0,0,0
"25",2016-01-11,"NO CA",2015-12-16,26,0,0,0
"26",2016-01-12,"CA",2015-12-12,31,0,0,0
"27",2016-01-12,"NO CA",2015-12-21,22,0,0,0
"28",2016-01-12,"NO CA",2015-12-20,23,0,0,0
"29",2016-01-12,"NO CA",2015-12-12,31,0,0,0
"30",2016-01-12,"NO CA",2015-12-13,30,0,0,0
"31",2016-01-12,"NO CA",2015-12-24,19,0,0,0
"32",2016-01-12,"CA",2015-12-15,28,0.00847457627118644,0,0.00847457627118644
"33",2016-01-12,"CA",2015-12-14,29,0,0,0
"34",2016-01-12,"CA",2015-12-15,28,0,0,0
"35",2016-01-13,"NO CA",2015-12-16,28,0,0,0
"36",2016-01-13,"NO CA",2015-12-17,27,0,0,0
"37",2016-01-13,"NO CA",2015-12-15,29,0,0,0
"38",2016-01-13,"NO CA",2015-12-15,29,0.00970873786407767,0,0.00970873786407767
"39",2016-01-13,"NO CA",2015-12-17,27,0,0,0
"40",2016-01-13,"NO CA",2015-12-18,26,0,0,0
"41",2016-01-13,"CA",2015-12-19,25,0,0,0
"42",2016-01-13,"NO CA",2015-12-15,29,0,0,0
"43",2016-01-13,"CA",2015-12-17,27,0,0,0
"44",2016-01-13,"NO CA",2015-12-15,29,0,0,0
"45",2016-01-18,"NO CA",2015-12-24,25,0,0,0
"46",2016-01-18,"NO CA",2015-12-24,25,0,0,0
"47",2016-01-18,"NO CA",2015-12-19,30,0,0,0
"48",2016-01-18,"NO CA",2015-12-19,30,0.00869565217391304,0,0.00869565217391304
"49",2016-01-18,"NO CA",2015-12-21,28,0,0,0
"50",2016-01-18,"NO CA",2015-12-21,28,0,0,0
"51",2016-01-18,"NO CA",2015-12-21,28,0,0,0
"52",2016-01-18,"CA",2015-12-18,31,0.00847457627118644,0,0.00847457627118644
"53",2016-01-18,"NO CA",2015-12-23,26,0,0,0
"54",2016-01-18,"NO CA",2015-12-21,28,0.00934579439252336,0,0.00934579439252336
"55",2016-01-18,"NO CA",2015-12-23,26,0,0,0
"56",2016-01-18,"CA",2015-12-20,29,0,0,0
"57",2016-01-18,"CA",2015-12-21,28,0,0,0
"58",2016-01-18,"NO CA",2015-12-22,27,0,0,0
"59",2016-01-18,"NO CA",2015-12-22,27,0,0,0
"60",2016-01-18,"NO CA",2015-12-29,20,0,0,0
"61",2016-01-20,"NO CA",2015-12-23,28,0,0,0
"62",2016-01-20,"NO CA",2015-12-24,27,0,0,0
"63",2016-01-20,"NO CA",2015-12-24,27,0,0,0
"64",2016-01-20,"NO CA",2015-12-23,28,0,0,0
"65",2016-01-20,"NO CA",2015-12-24,27,0,0,0
"66",2016-01-20,"NO CA",2015-12-26,25,0,0,0
"67",2016-01-20,"NO CA",2015-12-26,25,0,0,0
"68",2016-01-22,"NO CA",2015-12-28,25,0.0105263157894737,0,0.0105263157894737
"69",2016-01-22,"NO CA",2015-12-29,24,0,0,0
"70",2016-01-25,"NO CA",2015-12-28,28,0,0,0
"71",2016-01-25,"NO CA",2015-12-28,28,0,0,0
"72",2016-01-25,"CA",2015-12-27,29,0,0,0
"73",2016-01-25,"CA",2015-12-27,29,0,0,0
"74",2016-01-25,"NO CA",2015-12-29,27,0,0,0
"75",2016-01-25,"NO CA",2015-12-30,26,0,0,0
"76",2016-01-25,"NO CA",2015-12-31,25,0,0,0
"77",2016-01-25,"NO CA",2015-12-31,25,0,0,0
"78",2016-01-25,"CA",2015-12-28,28,0.00854700854700855,0,0.00854700854700855
"79",2016-01-25,"CA",2015-12-28,28,0,0,0
"80",2016-01-25,"NO CA",2015-12-28,28,0,0,0
"81",2016-01-27,"NO CA",2015-12-31,27,0,0,0
"82",2016-01-27,"NO CA",2015-12-29,29,0,0,0
"83",2016-01-27,"NO CA",2015-12-30,28,0,0,0
"84",2016-01-27,"NO CA",2015-12-29,29,0,0,0
"85",2016-01-27,"NO CA",2015-12-31,27,0,0,0
"86",2016-01-27,"NO CA",2015-12-31,27,0,0,0
"87",2016-01-27,"NO CA",2015-12-31,27,0,0,0
"88",2016-01-29,"NO CA",2016-01-05,24,0,0,0
"89",2016-02-01,"NO CA",2016-01-04,28,0,0,0
"90",2016-02-01,"NO CA",2016-01-05,27,0,0,0
"91",2016-02-01,"NO CA",2016-01-05,27,0,0,0
"92",2016-02-01,"NO CA",2016-01-05,27,0,0,0
"93",2016-02-01,"NO CA",2016-01-03,29,0,0,0
"94",2016-02-01,"CA",2016-01-04,28,0.00847457627118644,0,0.00847457627118644
"95",2016-02-01,"CA",2016-01-05,27,0,0,0
"96",2016-02-01,"NO CA",2016-01-06,26,0,0,0
"97",2016-02-01,"NO CA",2016-01-06,26,0.00980392156862745,0.00980392156862745,0.0294117647058824
"98",2016-02-01,"NO CA",2016-01-06,26,0,0,0
"99",2016-02-01,"NO CA",2016-01-05,27,0.0116279069767442,0,0.0116279069767442
"100",2016-02-01,"CA",2016-01-02,30,0.008,0.008,0.024
"101",2016-02-01,"CA",2016-01-03,29,0,0.00862068965517241,0.0172413793103448
"102",2016-02-01,"NO CA",2016-01-03,29,0,0,0
"103",2016-02-03,"NO CA",2016-01-08,26,0,0,0
"104",2016-02-03,"NO CA",2016-01-07,27,0,0,0
"105",2016-02-03,"NO CA",2016-01-07,27,0,0,0
"106",2016-02-03,"NO CA",2016-01-08,26,0,0,0
"107",2016-02-03,"NO CA",2016-01-06,28,0.032258064516129,0.010752688172043,0.053763440860215
"108",2016-02-03,"NO CA",2016-01-07,27,0,0,0
"109",2016-02-03,"NO CA",2016-01-07,27,0,0,0
"110",2016-02-03,"NO CA",2016-01-07,27,0,0,0
"111",2016-02-03,"NO CA",2016-01-06,28,0,0,0
"112",2016-02-03,"NO CA",2016-01-04,30,0,0,0
"113",2016-02-03,"NO CA",2016-01-06,28,0,0,0
"114",2016-02-03,"NO CA",2016-01-08,26,0,0,0
"115",2016-02-03,"NO CA",2016-01-09,25,0,0,0
"116",2016-02-05,"NO CA",2016-01-07,29,0,0,0
"117",2016-02-08,"NO CA",2016-01-11,28,0,0,0
"118",2016-02-08,"NO CA",2016-01-12,27,0,0,0
"119",2016-02-08,"NO CA",2016-01-10,29,0,0,0
"120",2016-02-08,"NO CA",2016-01-10,29,0,0,0
"121",2016-02-08,"NO CA",2016-01-11,28,0,0,0
"122",2016-02-08,"CA",2016-01-09,30,0,0.00854700854700855,0.0170940170940171
"123",2016-02-08,"CA",2016-01-09,30,0.0168067226890756,0,0.0168067226890756
"124",2016-02-08,"NO CA",2016-01-10,29,0,0,0
"125",2016-02-08,"NO CA",2016-01-09,30,0,0,0
"126",2016-02-08,"NO CA",2016-01-08,31,0,0,0
"127",2016-02-08,"NO CA",2016-01-12,27,0.00980392156862745,0,0.00980392156862745
"128",2016-02-08,"NO CA",2016-01-13,26,0,0,0
"129",2016-02-08,"NO CA",2016-01-11,28,0,0,0
"130",2016-02-08,"NO CA",2016-01-12,27,0,0,0
"131",2016-02-08,"NO CA",2016-01-12,27,0,0,0
"132",2016-02-08,"CA",2016-01-09,30,0.00884955752212389,0,0.00884955752212389
"133",2016-02-08,"CA",2016-01-10,29,0,0,0
"134",2016-02-10,"NO CA",2016-01-08,33,0,0,0
"135",2016-02-10,"CA",2016-01-06,35,0.0427350427350427,0.0256410256410256,0.0940170940170939
"136",2016-02-10,"NO CA",2016-01-07,34,0,0,0
